date,product_id,product_name,location,demand,inventory,cost,lead_time
2024-08-22,SSD-100,SSD,Agadir,35,26,124.01,14
2023-09-10,PRT-200,Printer,Agadir,21,5,150.96,14
2023-08-28,LAP-100,Laptop,Casablanca,51,52,821.9,10
2023-11-16,MB-200,Motherboard,Fes,8,0,146.52,10
2023-09-20,PSU-100,Power Supply,Rabat,8,0,67.67,3
2025-07-04,CPU-100,Processor,Meknes,18,63,245.07,5
2025-02-04,GPU-200,Graphics Card,Fes,9,29,501.52,5
2023-11-29,PHN-200,Smartphone,Marrakesh,38,87,607.09,7
2025-01-19,NC-100,Network Card,Casablanca,8,31,40.27,7
2024-03-21,CPU-100,Processor,Meknes,31,51,253.61,5
2023-11-05,MON-100,Monitor,Casablanca,23,42,202.96,3
2023-12-02,LAP-100,Laptop,Oujda,36,22,810.04,10
2025-04-05,PHN-100,Smartphone,Casablanca,63,74,617.6,10
2023-12-15,SSD-100,SSD,Agadir,38,77,118.62,14
2025-06-01,PHN-200,Smartphone,Tanger,97,89,624.9,7
2024-11-24,MON-100,Monitor,Agadir,39,89,201.0,5
2023-08-13,PRT-100,Printer,Fes,10,20,154.01,14
2025-01-10,PSU-100,Power Supply,Fes,9,38,72.93,14
2023-09-18,TAB-100,Tablet,Rabat,42,40,302.59,7
2024-02-01,HDD-200,Hard Drive,Marrakesh,5,35,82.45,10
2023-09-26,PHN-200,Smartphone,Agadir,110,157,604.38,10
2024-01-11,PRT-100,Printer,Tanger,20,59,154.9,3
2024-04-21,MON-100,Monitor,Agadir,10,7,204.81,14
2025-05-23,MB-200,Motherboard,Rabat,11,7,147.95,7
2023-12-07,LAP-200,Laptop,Casablanca,55,60,797.8,5
2023-11-14,MB-100,Motherboard,Meknes,11,0,142.65,10
2024-06-02,HDD-200,Hard Drive,Agadir,55,83,79.09,14
2025-02-23,TAB-200,Tablet,Oujda,34,32,291.42,3
2024-02-21,RAM-100,Memory Module,Marrakesh,36,16,98.37,3
2024-01-22,PHN-200,Smartphone,Fes,80,129,628.43,3
2024-01-20,SSD-100,SSD,Fes,52,45,123.38,10
2023-12-23,MON-100,Monitor,Casablanca,13,47,193.15,3
2024-03-19,PHN-200,Smartphone,Meknes,92,89,602.87,5
2024-07-18,PHN-200,Smartphone,Marrakesh,64,56,628.07,3
2025-01-06,NC-100,Network Card,Oujda,6,49,41.41,10
2024-05-11,LAP-200,Laptop,Casablanca,29,18,767.16,7
2024-09-02,PRT-100,Printer,Tanger,20,33,145.29,7
2024-02-19,GPU-200,Graphics Card,Fes,20,49,482.88,14
2024-07-02,NC-100,Network Card,Rabat,4,4,41.45,5
2025-07-01,PSU-100,Power Supply,Oujda,6,0,68.48,14
2025-03-19,HDD-100,Hard Drive,Fes,56,66,83.47,14
2024-03-07,PRT-100,Printer,Rabat,15,42,148.87,3
2025-05-19,HDD-100,Hard Drive,Fes,59,65,84.0,10
2024-05-05,PSU-100,Power Supply,Agadir,13,53,69.06,3
2024-06-25,RAM-100,Memory Module,Marrakesh,2,14,97.49,5
2024-08-27,MON-100,Monitor,Agadir,28,18,190.84,10
2024-01-03,CPU-100,Processor,Marrakesh,19,15,258.36,7
2025-03-05,GPU-200,Graphics Card,Oujda,13,26,493.75,3
2024-11-03,CPU-100,Processor,Rabat,14,52,237.92,14
2025-03-23,PSU-100,Power Supply,Tanger,11,37,68.45,3
2025-02-08,HDD-100,Hard Drive,Oujda,42,81,80.5,14
2025-05-09,MON-100,Monitor,Fes,14,25,200.38,3
2024-04-28,MS-100,Mouse,Rabat,37,76,19.72,7
2023-12-17,PHN-200,Smartphone,Fes,50,61,611.62,10
2025-05-02,GPU-200,Graphics Card,Fes,19,6,502.29,5
2024-06-13,MON-100,Monitor,Tanger,41,81,194.88,3
2023-09-15,RAM-100,Memory Module,Agadir,32,35,99.07,10
2024-08-01,PRT-200,Printer,Rabat,11,37,149.63,5
2025-03-27,PSU-100,Power Supply,Oujda,10,22,69.83,3
2024-09-07,KB-100,Keyboard,Meknes,14,64,30.06,14
2024-11-10,RAM-100,Memory Module,Meknes,34,68,104.78,3
2024-06-09,TAB-200,Tablet,Marrakesh,26,50,297.8,14
2024-09-17,SSD-100,SSD,Meknes,58,81,123.11,5
2025-03-04,MON-100,Monitor,Oujda,4,4,193.68,5
2025-04-25,MS-200,Mouse,Rabat,27,70,20.34,5
2024-09-16,TAB-200,Tablet,Casablanca,21,46,313.21,10
2023-09-19,MB-200,Motherboard,Marrakesh,7,50,144.88,10
2023-10-05,PSU-100,Power Supply,Tanger,12,51,71.28,10
2023-09-05,CPU-100,Processor,Tanger,31,27,258.95,7
2024-06-10,SSD-100,SSD,Fes,19,63,114.37,7
2024-05-29,TAB-200,Tablet,Marrakesh,19,67,314.57,7
2025-06-25,MS-100,Mouse,Oujda,43,38,19.17,3
2024-05-22,TAB-100,Tablet,Rabat,26,49,313.93,10
2025-05-18,HDD-100,Hard Drive,Agadir,47,89,81.09,7
2024-01-06,GPU-100,Graphics Card,Oujda,15,37,524.3,5
2024-02-28,NC-100,Network Card,Meknes,9,0,41.92,3
2024-09-17,MON-100,Monitor,Oujda,26,25,194.82,5
2023-11-19,RAM-100,Memory Module,Casablanca,44,92,101.49,10
2024-03-26,PSU-100,Power Supply,Casablanca,10,19,66.52,7
2025-06-13,NC-100,Network Card,Marrakesh,7,22,39.85,14
2024-03-23,PRT-100,Printer,Fes,4,39,154.45,14
2023-08-10,PRT-200,Printer,Tanger,8,4,143.58,14
2023-08-18,MB-100,Motherboard,Agadir,13,51,155.8,14
2024-05-30,PSU-100,Power Supply,Meknes,10,0,68.06,7
2023-09-29,NC-100,Network Card,Agadir,2,12,38.48,7
2024-03-02,MB-200,Motherboard,Rabat,16,43,148.78,10
2023-08-14,MS-200,Mouse,Marrakesh,18,30,19.47,3
2023-12-21,TAB-100,Tablet,Casablanca,27,13,305.97,10
2023-10-02,RAM-100,Memory Module,Rabat,25,35,98.27,3
2023-10-16,MON-100,Monitor,Casablanca,33,39,195.95,5
2024-01-05,GPU-200,Graphics Card,Meknes,11,53,490.87,5
2023-08-04,RAM-100,Memory Module,Agadir,36,39,99.32,5
2025-02-01,PSU-100,Power Supply,Agadir,4,32,71.76,14
2024-04-24,MS-200,Mouse,Fes,40,50,20.47,10
2024-07-25,HDD-200,Hard Drive,Agadir,17,54,81.1,10
2023-08-21,GPU-100,Graphics Card,Marrakesh,6,32,476.01,3
2023-08-24,MS-200,Mouse,Tanger,46,26,19.01,14
2025-05-23,TAB-100,Tablet,Fes,18,35,298.5,7
2024-12-20,PSU-100,Power Supply,Agadir,9,39,71.45,10
2024-11-23,CPU-100,Processor,Tanger,19,22,255.44,7
2025-05-23,LAP-200,Laptop,Agadir,74,115,817.66,10
2025-07-05,PRT-200,Printer,Agadir,6,34,154.9,10
2025-05-17,PRT-100,Printer,Oujda,25,33,145.45,14
2024-04-11,CPU-100,Processor,Casablanca,22,34,254.47,7
2023-10-02,HDD-200,Hard Drive,Tanger,59,74,78.77,3
2024-04-20,RAM-100,Memory Module,Rabat,20,49,104.1,10
2024-11-10,MS-100,Mouse,Meknes,42,88,20.37,7
2024-03-19,PSU-100,Power Supply,Marrakesh,16,27,73.17,7
2025-03-10,TAB-200,Tablet,Oujda,19,36,301.44,10
2025-02-15,HDD-200,Hard Drive,Marrakesh,48,59,83.8,3
2023-09-12,MB-200,Motherboard,Fes,10,23,152.53,3
2025-05-06,MB-100,Motherboard,Meknes,8,32,155.46,3
2024-03-06,KB-100,Keyboard,Marrakesh,13,22,28.74,5
2025-05-10,LAP-300,Laptop,Rabat,33,51,835.32,14
2025-05-11,NC-100,Network Card,Tanger,8,56,39.35,5
2023-09-10,MB-200,Motherboard,Tanger,14,10,150.53,10
2024-04-26,KB-100,Keyboard,Casablanca,10,31,29.6,14
2025-07-01,PSU-100,Power Supply,Agadir,6,15,69.48,10
2023-09-14,KB-100,Keyboard,Marrakesh,8,0,29.58,7
2023-10-24,GPU-200,Graphics Card,Agadir,19,58,511.44,7
2024-04-07,KB-100,Keyboard,Marrakesh,30,41,30.59,10
2025-02-22,LAP-200,Laptop,Agadir,64,50,765.75,14
2024-05-26,MS-100,Mouse,Agadir,28,68,20.1,10
2024-03-15,MB-100,Motherboard,Marrakesh,13,45,143.21,5
2025-02-17,MB-200,Motherboard,Marrakesh,5,0,146.12,5
2023-10-02,LAP-300,Laptop,Agadir,71,109,766.29,14
2024-05-19,LAP-200,Laptop,Meknes,42,75,805.93,3
2024-06-25,KB-100,Keyboard,Oujda,38,50,30.75,10
2025-05-09,PRT-100,Printer,Casablanca,17,2,154.18,5
2024-04-27,HDD-200,Hard Drive,Meknes,26,17,80.4,7
2023-11-29,GPU-100,Graphics Card,Oujda,14,9,516.07,10
2024-09-14,LAP-100,Laptop,Agadir,19,15,769.2,7
2024-05-30,LAP-300,Laptop,Casablanca,49,48,828.29,14
2025-05-17,PHN-200,Smartphone,Meknes,60,90,628.97,10
2025-02-14,MON-100,Monitor,Tanger,32,61,193.51,3
2023-09-12,MS-200,Mouse,Tanger,40,33,20.01,14
2025-04-05,TAB-100,Tablet,Fes,27,20,309.3,14
2023-09-13,CPU-100,Processor,Marrakesh,19,55,262.13,10
2024-07-17,CPU-100,Processor,Meknes,24,5,257.9,3
2025-04-28,PSU-100,Power Supply,Oujda,8,20,71.68,3
2023-07-26,CPU-100,Processor,Marrakesh,15,13,249.78,5
2023-09-24,MS-200,Mouse,Casablanca,39,35,20.13,10
2024-12-20,MS-100,Mouse,Rabat,37,32,20.93,14
2024-10-10,HDD-100,Hard Drive,Fes,48,29,77.47,14
2024-01-21,NC-100,Network Card,Rabat,5,42,38.44,3
2023-11-24,MON-100,Monitor,Oujda,23,64,207.98,7
2024-07-14,TAB-200,Tablet,Rabat,19,67,285.32,5
2024-03-02,MS-200,Mouse,Tanger,44,58,20.15,14
2024-07-03,MB-100,Motherboard,Meknes,13,42,152.89,3
2024-10-06,HDD-100,Hard Drive,Casablanca,58,43,76.57,3
2024-01-20,HDD-200,Hard Drive,Marrakesh,54,45,83.2,10
2023-11-30,PSU-100,Power Supply,Rabat,15,44,68.65,14
2023-08-16,CPU-100,Processor,Marrakesh,17,44,254.71,14
2025-07-06,HDD-200,Hard Drive,Agadir,47,61,79.5,7
2023-09-26,PHN-100,Smartphone,Marrakesh,68,79,591.21,10
2025-03-20,LAP-100,Laptop,Meknes,37,55,794.76,3
2024-06-11,HDD-100,Hard Drive,Tanger,46,83,81.01,5
2025-06-08,CPU-100,Processor,Tanger,12,8,238.24,3
2025-03-02,GPU-100,Graphics Card,Meknes,9,0,492.42,3
2024-11-13,PHN-200,Smartphone,Agadir,50,82,587.9,7
2023-11-05,NC-100,Network Card,Rabat,5,1,40.66,5
2025-04-05,KB-100,Keyboard,Tanger,26,35,31.05,14
2024-05-20,MON-100,Monitor,Tanger,34,72,195.11,10
2024-01-19,MB-200,Motherboard,Meknes,6,3,145.25,3
2024-05-11,MS-200,Mouse,Fes,34,26,19.31,3
2023-12-30,MB-100,Motherboard,Casablanca,5,33,151.17,14
2024-03-24,GPU-200,Graphics Card,Marrakesh,4,10,492.2,10
2024-06-24,PHN-100,Smartphone,Meknes,53,37,605.32,10
2024-12-09,PSU-100,Power Supply,Meknes,6,17,70.78,14
2023-12-08,MB-200,Motherboard,Rabat,14,43,155.25,5
2024-05-28,HDD-200,Hard Drive,Fes,32,64,76.32,3
2024-05-09,PRT-100,Printer,Casablanca,18,59,147.23,5
2024-01-01,MB-200,Motherboard,Marrakesh,7,11,157.17,7
2025-04-28,SSD-100,SSD,Meknes,39,78,116.03,7
2025-06-12,PSU-100,Power Supply,Tanger,11,60,70.89,7
2024-12-29,MON-100,Monitor,Oujda,30,57,195.55,14
2024-01-08,GPU-200,Graphics Card,Casablanca,10,14,513.15,14
2023-10-29,HDD-200,Hard Drive,Agadir,55,40,79.83,14
2025-07-20,LAP-200,Laptop,Agadir,37,66,836.02,3
2024-12-19,KB-100,Keyboard,Oujda,26,10,29.24,7
2024-10-18,LAP-100,Laptop,Tanger,41,21,770.38,5
2024-07-20,MON-100,Monitor,Meknes,26,48,190.94,7
2025-05-27,NC-100,Network Card,Agadir,7,0,39.73,10
2025-01-13,GPU-200,Graphics Card,Casablanca,19,61,503.95,14
2024-12-10,RAM-100,Memory Module,Agadir,50,95,96.5,5
2024-03-28,KB-100,Keyboard,Tanger,33,21,31.02,7
2024-09-25,PSU-100,Power Supply,Rabat,5,0,72.81,10
2025-04-14,MON-100,Monitor,Marrakesh,45,27,198.49,7
2024-02-09,PSU-100,Power Supply,Fes,5,18,71.7,14
2024-08-20,LAP-200,Laptop,Meknes,59,103,812.7,5
2024-02-04,PHN-200,Smartphone,Marrakesh,113,99,605.02,14
2024-05-23,MON-100,Monitor,Fes,22,14,203.46,3
2025-05-11,KB-100,Keyboard,Tanger,19,23,30.24,14
2024-08-11,GPU-200,Graphics Card,Oujda,20,1,512.99,7
2025-06-22,RAM-100,Memory Module,Oujda,31,31,103.91,7
2024-12-19,CPU-100,Processor,Casablanca,22,59,261.44,7
2023-08-26,MB-200,Motherboard,Meknes,15,46,148.12,5
2024-11-06,SSD-100,SSD,Rabat,35,29,125.87,3
2024-08-03,TAB-100,Tablet,Marrakesh,20,57,301.83,7
2023-11-17,PHN-200,Smartphone,Agadir,73,92,604.09,3
2025-03-03,MB-200,Motherboard,Casablanca,13,3,149.5,5
2023-10-31,NC-100,Network Card,Marrakesh,9,23,39.77,14
2023-12-17,PHN-100,Smartphone,Marrakesh,53,47,594.59,3
2023-11-09,MS-100,Mouse,Casablanca,39,77,20.08,10
2024-02-18,MS-100,Mouse,Fes,27,29,19.98,7
2024-03-18,HDD-200,Hard Drive,Casablanca,35,31,79.77,3
2024-04-22,MB-200,Motherboard,Fes,13,46,143.01,14
2024-07-18,PRT-100,Printer,Tanger,9,36,157.44,10
2024-05-11,MB-200,Motherboard,Fes,18,41,147.68,5
2024-10-23,PRT-100,Printer,Tanger,9,25,145.65,10
2024-09-03,PSU-100,Power Supply,Agadir,12,43,68.8,5
2023-11-23,TAB-100,Tablet,Marrakesh,33,16,294.34,14
2023-09-21,PHN-100,Smartphone,Meknes,62,99,603.64,14
2025-04-15,SSD-100,SSD,Tanger,51,32,118.96,3
2023-09-02,RAM-100,Memory Module,Rabat,36,25,101.66,7
2024-03-05,MB-100,Motherboard,Tanger,9,0,151.69,3
2024-08-21,TAB-200,Tablet,Casablanca,48,31,311.48,14
2024-11-27,HDD-200,Hard Drive,Casablanca,41,21,78.53,14
2025-07-18,GPU-200,Graphics Card,Oujda,16,47,487.89,5
2024-10-20,CPU-100,Processor,Tanger,26,39,244.82,5
2023-11-15,PHN-100,Smartphone,Tanger,56,39,627.63,5
2023-10-01,HDD-200,Hard Drive,Fes,36,49,76.42,5
2024-02-11,SSD-100,SSD,Rabat,34,67,119.84,14
2025-02-13,TAB-200,Tablet,Tanger,32,64,303.36,10
2024-08-09,MS-100,Mouse,Marrakesh,21,61,20.07,3
2024-02-12,PRT-100,Printer,Casablanca,14,35,154.93,3
2024-10-23,KB-100,Keyboard,Oujda,13,40,29.97,7
2024-11-29,GPU-200,Graphics Card,Fes,15,16,515.41,10
2024-12-19,SSD-100,SSD,Meknes,58,64,123.27,14
2024-04-25,MB-200,Motherboard,Rabat,19,0,151.3,14
2025-04-25,MON-100,Monitor,Fes,22,44,198.05,3
2023-10-19,MB-200,Motherboard,Meknes,17,52,148.67,3
2024-04-22,SSD-100,SSD,Agadir,44,27,118.35,5
2023-12-05,KB-100,Keyboard,Fes,32,68,29.88,5
2024-01-29,GPU-100,Graphics Card,Fes,17,11,490.02,10
2023-10-16,PRT-200,Printer,Casablanca,20,0,157.35,7
2025-03-23,TAB-100,Tablet,Marrakesh,47,62,288.41,5
2024-11-27,MS-100,Mouse,Oujda,27,66,19.93,7
2025-04-13,PRT-200,Printer,Meknes,14,39,148.16,10
2024-10-17,NC-100,Network Card,Tanger,11,42,41.71,10
2025-06-29,SSD-100,SSD,Marrakesh,22,41,125.36,5
2025-07-15,NC-100,Network Card,Marrakesh,8,17,38.89,14
2024-07-26,LAP-300,Laptop,Fes,39,61,825.56,10
2025-02-15,LAP-300,Laptop,Fes,58,86,806.22,14
2023-10-29,SSD-100,SSD,Marrakesh,48,58,117.49,14
2024-07-20,NC-100,Network Card,Rabat,6,38,41.42,10
2025-04-13,MB-200,Motherboard,Casablanca,5,51,143.98,3
2025-06-05,PRT-200,Printer,Rabat,16,28,154.35,7
2024-12-25,MON-100,Monitor,Agadir,5,37,192.66,5
2024-05-09,RAM-100,Memory Module,Fes,34,60,102.36,7
2024-04-13,SSD-100,SSD,Meknes,48,98,120.45,5
2024-05-22,PSU-100,Power Supply,Fes,6,37,70.83,10
2024-04-09,PSU-100,Power Supply,Rabat,14,0,72.05,7
2025-05-25,NC-100,Network Card,Fes,10,49,41.23,10
2024-04-22,GPU-100,Graphics Card,Casablanca,21,21,514.01,5
2023-09-29,GPU-100,Graphics Card,Meknes,5,0,507.9,14
2023-10-08,MB-200,Motherboard,Oujda,20,15,148.01,10
2025-07-22,CPU-100,Processor,Tanger,22,45,246.42,14
2023-08-31,MS-200,Mouse,Marrakesh,43,43,19.02,5
2023-12-31,GPU-200,Graphics Card,Oujda,15,41,504.94,7
2025-06-09,MB-200,Motherboard,Meknes,12,38,145.59,3
2024-05-15,MON-100,Monitor,Marrakesh,31,45,190.38,7
2023-08-26,SSD-100,SSD,Marrakesh,26,34,114.71,5
2024-07-02,PHN-200,Smartphone,Fes,82,63,571.79,7
2023-09-12,MON-100,Monitor,Marrakesh,23,50,197.4,14
2024-10-30,PRT-100,Printer,Meknes,12,29,149.03,5
2024-05-20,SSD-100,SSD,Fes,52,41,121.05,3
2024-06-29,SSD-100,SSD,Meknes,52,65,124.59,10
2025-07-02,SSD-100,SSD,Marrakesh,32,77,125.38,7
2025-02-25,HDD-100,Hard Drive,Casablanca,20,45,82.48,3
2025-05-03,MB-200,Motherboard,Meknes,10,0,157.04,7
2024-02-16,NC-100,Network Card,Marrakesh,3,15,39.24,3
2025-06-17,MS-100,Mouse,Fes,28,61,19.01,5
2024-08-12,KB-100,Keyboard,Casablanca,24,74,28.56,3
2025-07-16,KB-100,Keyboard,Meknes,17,58,29.43,3
2025-06-19,MS-100,Mouse,Agadir,25,54,19.72,10
2024-04-24,PRT-100,Printer,Rabat,19,49,151.15,3
2024-04-25,LAP-200,Laptop,Casablanca,83,111,828.48,5
2023-08-07,PHN-100,Smartphone,Casablanca,163,143,594.33,5
2023-08-12,NC-100,Network Card,Agadir,8,2,41.84,7
2024-12-08,KB-100,Keyboard,Casablanca,44,55,30.31,5
2024-02-04,MON-100,Monitor,Tanger,30,25,206.9,3
2024-05-29,SSD-100,SSD,Tanger,53,68,120.38,7
2023-09-09,CPU-100,Processor,Tanger,18,8,249.89,10
2025-02-22,PHN-100,Smartphone,Marrakesh,61,108,620.13,7
2023-12-26,MON-100,Monitor,Marrakesh,16,24,204.57,10
2023-09-16,PRT-200,Printer,Tanger,14,58,148.69,14
2023-12-06,MS-200,Mouse,Meknes,11,7,20.31,14
2023-08-01,PHN-200,Smartphone,Tanger,75,70,577.38,5
2023-11-15,PHN-100,Smartphone,Fes,74,90,615.29,7
2024-05-23,SSD-100,SSD,Fes,50,74,121.79,5
2023-09-03,TAB-100,Tablet,Marrakesh,16,65,298.92,3
2023-09-05,PHN-200,Smartphone,Tanger,107,139,585.0,14
2024-11-19,PHN-100,Smartphone,Agadir,33,47,611.2,10
2024-03-26,PSU-100,Power Supply,Casablanca,7,35,72.02,7
2023-11-12,HDD-100,Hard Drive,Agadir,58,98,81.49,3
2025-07-13,SSD-100,SSD,Casablanca,44,89,115.92,7
2024-01-17,NC-100,Network Card,Tanger,11,11,40.84,7
2025-05-18,LAP-100,Laptop,Fes,51,49,788.33,7
2023-11-15,MB-100,Motherboard,Fes,18,11,153.85,7
2024-06-02,MON-100,Monitor,Tanger,16,49,205.7,10
2025-02-23,HDD-200,Hard Drive,Marrakesh,31,20,81.4,7
2024-03-27,HDD-200,Hard Drive,Casablanca,36,68,77.0,5
2025-05-01,PHN-100,Smartphone,Tanger,9,19,600.83,14
2024-06-24,MB-200,Motherboard,Agadir,9,7,155.98,5
2025-06-17,LAP-200,Laptop,Rabat,64,86,819.8,10
2025-06-30,RAM-100,Memory Module,Agadir,41,28,100.73,7
2023-11-02,GPU-100,Graphics Card,Meknes,13,16,491.95,3
2025-07-10,MON-100,Monitor,Agadir,26,69,190.11,10
2024-03-12,SSD-100,SSD,Tanger,55,38,120.99,3
2025-07-23,MON-100,Monitor,Marrakesh,21,27,199.37,14
2023-10-18,MB-100,Motherboard,Rabat,15,8,151.57,10
2025-07-21,KB-100,Keyboard,Agadir,15,64,29.15,14
2024-11-30,MS-100,Mouse,Meknes,33,21,20.65,14
2024-04-19,SSD-100,SSD,Meknes,61,84,123.58,7
2024-12-11,HDD-200,Hard Drive,Tanger,60,88,81.22,5
2024-07-02,RAM-100,Memory Module,Meknes,35,64,101.54,10
2025-03-26,TAB-100,Tablet,Casablanca,20,40,311.56,3
2023-08-16,PRT-100,Printer,Agadir,14,41,150.47,3
2025-02-25,NC-100,Network Card,Rabat,6,0,40.32,3
2023-11-25,LAP-100,Laptop,Oujda,69,100,805.56,3
2024-07-27,PSU-100,Power Supply,Agadir,9,49,67.94,7
2024-10-13,HDD-200,Hard Drive,Tanger,34,72,78.63,5
2023-08-19,TAB-200,Tablet,Casablanca,31,13,305.06,7
2025-07-11,HDD-200,Hard Drive,Tanger,27,9,77.51,5
2025-06-11,TAB-200,Tablet,Casablanca,41,80,297.43,5
2024-10-16,KB-100,Keyboard,Marrakesh,15,0,30.8,10
2024-08-23,NC-100,Network Card,Tanger,8,25,38.72,10
2025-04-10,GPU-100,Graphics Card,Marrakesh,19,0,511.39,5
2025-01-21,PRT-200,Printer,Marrakesh,8,32,150.18,3
2024-07-14,CPU-100,Processor,Oujda,24,4,252.38,14
2023-10-26,MON-100,Monitor,Marrakesh,26,6,194.88,3
2024-08-24,MON-100,Monitor,Agadir,30,50,201.96,14
2023-11-13,MON-100,Monitor,Oujda,44,77,205.24,10
2025-02-18,PSU-100,Power Supply,Rabat,8,34,69.06,5
2024-10-13,KB-100,Keyboard,Oujda,19,50,29.81,5
2025-03-24,PSU-100,Power Supply,Oujda,12,0,69.22,10
2025-02-25,PSU-100,Power Supply,Tanger,11,0,66.89,3
2023-12-09,MB-200,Motherboard,Meknes,6,0,155.76,7
2024-03-16,PHN-200,Smartphone,Tanger,76,108,588.22,7
2025-04-02,CPU-100,Processor,Tanger,21,55,246.45,7
2024-07-13,MS-100,Mouse,Oujda,25,5,19.69,7
2023-11-23,PSU-100,Power Supply,Oujda,12,17,67.89,7
2024-02-20,RAM-100,Memory Module,Marrakesh,28,18,101.43,3
2024-03-10,MON-100,Monitor,Rabat,27,12,191.63,3
2024-04-19,SSD-100,SSD,Fes,50,61,125.97,7
2024-01-04,PRT-100,Printer,Oujda,14,11,153.38,3
2023-12-26,MS-200,Mouse,Casablanca,29,47,19.94,14
2024-12-07,SSD-100,SSD,Marrakesh,26,26,125.65,7
2025-06-15,MS-200,Mouse,Marrakesh,36,57,19.54,3
2024-02-10,CPU-100,Processor,Casablanca,19,67,250.43,3
2024-04-07,MON-100,Monitor,Fes,18,50,196.8,5
2023-09-11,LAP-300,Laptop,Marrakesh,58,74,824.3,5
2025-02-18,MS-200,Mouse,Rabat,32,71,19.06,10
2024-10-25,NC-100,Network Card,Tanger,6,42,40.56,5
2025-04-22,PHN-200,Smartphone,Casablanca,28,23,610.57,14
2024-02-28,PHN-100,Smartphone,Tanger,82,88,580.69,5
2025-05-02,CPU-100,Processor,Rabat,21,1,237.75,5
2025-01-25,HDD-100,Hard Drive,Fes,49,83,83.32,5
2024-12-08,LAP-200,Laptop,Fes,47,49,793.39,7
2025-07-18,MON-100,Monitor,Tanger,26,41,204.42,3
2024-05-28,MON-100,Monitor,Oujda,20,2,203.2,10
2025-02-22,MON-100,Monitor,Meknes,21,49,207.53,5
2024-02-04,NC-100,Network Card,Casablanca,7,15,39.06,7
2024-03-19,RAM-100,Memory Module,Oujda,19,64,97.16,14
2025-04-20,GPU-100,Graphics Card,Tanger,12,0,508.23,14
